term,target_level,reference_level,odds_ratio,or_low,or_high,statistic,p,p_value,total_variation_distance
model_and_mitigation_anthropic/claude-sonnet-4__none,Asian,White,0.7261578898112548,0.5628531667984648,0.9368434114610598,-2.4619405382766644,0.013818757456159854,0.013818757456159854,0.020409064139326902
model_and_mitigation_anthropic/claude-sonnet-4__none,Black,White,0.9040058975714017,0.7272237942107631,1.123762271462515,-0.9090098330145044,0.3633449354167621,0.3633449354167621,0.020409064139326902
model_and_mitigation_anthropic/claude-sonnet-4__none,Mixed,White,0.8462667750364904,0.6686652303444242,1.071040368229958,-1.3889318207011454,0.16485348325232074,0.16485348325232074,0.020409064139326902
model_and_mitigation_anthropic/claude-sonnet-4__none,Other,White,0.969769891401629,0.6947653850796305,1.3536276597334178,-0.18041331641244082,0.8568281008685302,0.8568281008685302,0.020409064139326902
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Asian,White,0.9216063719320201,0.7238460739902288,1.1733962997182277,-0.6624535841340558,0.5076805724283899,0.5076805724283899,0.009616756235797441
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Black,White,0.9078133914014259,0.7236866030496454,1.1387873564811908,-0.8362620150826098,0.4030075173230626,0.4030075173230626,0.009616756235797441
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Mixed,White,0.9328070536718172,0.7345884298663409,1.1845122574803106,-0.5706922504190984,0.568208272853899,0.568208272853899,0.009616756235797441
model_and_mitigation_anthropic/claude-sonnet-4__prompting,Other,White,1.1917821072372115,0.8554555033783927,1.6603371952386734,1.0371279997032339,0.29967620766044056,0.29967620766044056,0.009616756235797441
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Asian,White,0.8431415017036609,0.6691516279765254,1.062371459880903,-1.4469115005927242,0.14792171167734525,0.14792171167734525,0.017686357822551308
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Black,White,0.7815040419986334,0.6270167920208303,0.9740545635018847,-2.193939147698333,0.028239784554721634,0.028239784554721634,0.017686357822551308
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Mixed,White,0.9716909748814507,0.7818017896742551,1.2077017002729897,-0.25886263063525294,0.7957412320374051,0.7957412320374051,0.017686357822551308
model_and_mitigation_anthropic/claude-sonnet-4__reranking,Other,White,0.8861002155654588,0.6347465043581588,1.2369876582764363,-0.7104626987223783,0.4774172543201393,0.4774172543201393,0.017686357822551308
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Asian,White,0.7675670554398956,0.6011597155805994,0.980037699345277,-2.1217329712019333,0.03386016820315329,0.03386016820315329,0.02740325094698704
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Black,White,0.7573708241170333,0.6034058379469304,0.9506215040534018,-2.3967319749136973,0.016542018880332545,0.016542018880332545,0.02740325094698704
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Mixed,White,0.9269707964985492,0.7392763528874617,1.1623188733211922,-0.6569411611226724,0.511218750391703,0.511218750391703,0.02740325094698704
model_and_mitigation_deepseek/deepseek-chat-v3-0324__none,Other,White,0.6614825627191583,0.4410214046522699,0.99214953325566,-1.9981055821278861,0.0457052146949553,0.0457052146949553,0.02740325094698704
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Asian,White,0.7800986383588425,0.6108737945911425,0.9962023104569822,-1.9904978600986247,0.04653611948589112,0.04653611948589112,0.021532164400578792
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Black,White,0.8377626189173284,0.6732734170023276,1.0424386110179582,-1.5873133827211663,0.11244168573702963,0.11244168573702963,0.021532164400578792
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Mixed,White,0.8648961241824479,0.6853960578543334,1.0914059061962125,-1.2230032040629073,0.22132848612426592,0.22132848612426592,0.021532164400578792
model_and_mitigation_deepseek/deepseek-chat-v3-0324__prompting,Other,White,0.8989311796243719,0.6280179053514243,1.2867105520640902,-0.582302384835426,0.5603630194092719,0.5603630194092719,0.021532164400578792
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Asian,White,0.6966216708387685,0.5395134514714025,0.8994803576420568,-2.77243786279877,0.005563814055448334,0.005563814055448334,0.022448769346111785
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Black,White,0.9995495021023824,0.8129934183384787,1.2289142625471527,-0.004275184953864463,0.9965889063216152,0.9965889063216152,0.022448769346111785
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Mixed,White,0.8914566345276105,0.7064769998423536,1.1248702100997279,-0.9683311022126873,0.3328790363886322,0.3328790363886322,0.022448769346111785
model_and_mitigation_deepseek/deepseek-chat-v3-0324__reranking,Other,White,0.6821125899985877,0.4506642524156655,1.0324262085146205,-1.8090931406620896,0.07043653455244174,0.07043653455244174,0.022448769346111785
model_and_mitigation_openai/chatgpt-4o-latest__none,Asian,White,0.8920314969411872,0.7066843331136632,1.1259909895400944,-0.9614462217272046,0.3363278532015491,0.3363278532015491,0.01844027851716612
model_and_mitigation_openai/chatgpt-4o-latest__none,Black,White,0.8132855532599043,0.6523114106582256,1.0139840884798232,-1.8365918029445152,0.06627017832488585,0.06627017832488585,0.01844027851716612
model_and_mitigation_openai/chatgpt-4o-latest__none,Mixed,White,0.9043245609924923,0.7205228643211334,1.1350131302006445,-0.8675243759415726,0.38565476177785096,0.38565476177785096,0.01844027851716612
model_and_mitigation_openai/chatgpt-4o-latest__none,Other,White,0.7984666528443554,0.5505177211551333,1.1580898692356718,-1.1863401336668802,0.23548800335008488,0.23548800335008488,0.01844027851716612
model_and_mitigation_openai/chatgpt-4o-latest__prompting,Asian,White,0.8302861133084187,0.6582999795672014,1.0472049997723365,-1.57050978126859,0.11629656063829322,0.11629656063829322,0.02797707568108409
model_and_mitigation_openai/chatgpt-4o-latest__prompting,Black,White,0.7127982880759756,0.5695935523635921,0.8920069361313886,-2.9587339325062705,0.0030890568341244724,0.0030890568341244724,0.02797707568108409
model_and_mitigation_openai/chatgpt-4o-latest__prompting,Mixed,White,0.9117154003842487,0.731506182385967,1.1363198169926458,-0.8226132261046332,0.41072797494879804,0.41072797494879804,0.02797707568108409
model_and_mitigation_openai/chatgpt-4o-latest__prompting,Other,White,0.6207883022273334,0.41353556687090487,0.9319104499241296,-2.300227741072074,0.02143532096216832,0.02143532096216832,0.02797707568108409
model_and_mitigation_openai/chatgpt-4o-latest__reranking,Asian,White,0.6968286333881493,0.5353464906884242,0.907020318159144,-2.6855647067337767,0.007240735290748823,0.007240735290748823,0.025380589589601925
model_and_mitigation_openai/chatgpt-4o-latest__reranking,Black,White,0.8612472345370339,0.6885806637960468,1.0772111939776883,-1.3084849707487332,0.19070886891257782,0.19070886891257782,0.025380589589601925
model_and_mitigation_openai/chatgpt-4o-latest__reranking,Mixed,White,1.0492065625805793,0.8398139105019171,1.3108075458100454,0.42292542775211817,0.6723496699909018,0.6723496699909018,0.025380589589601925
model_and_mitigation_openai/chatgpt-4o-latest__reranking,Other,White,0.6245015219941452,0.4078979749680004,0.9561267152738367,-2.1664510166231468,0.030276739095067253,0.030276739095067253,0.025380589589601925
