attribute,mitigation,term,p_value,significant,writer_ame,writer_ame_low,writer_ame_high,relative_ame_magnitude_vs_writer,relative_ame_magnitude_vs_writer_low,relative_ame_magnitude_vs_writer_high,odds_ratio,or_low,or_high,statistic,p,ame,ame_low,ame_high
writer_community,prompting,mitigation_condition_prompting,1.7166723130177716e-8,TRUE,-9.68490385715578,-10.668902483826889,-8.70090523048467,0.3553617043149758,0.21045773989960034,0.5330404888684591,0.8566186886956185,0.8117526267814904,0.9039645251682392,-5.638370113542523,1.7166723130177716e-8,-3.441643940805561,-4.637934777655682,-2.2453531039554395
writer_importance,prompting,mitigation_condition_prompting,1.3634540406810998e-5,TRUE,-11.75604996803058,-12.633743538283912,-10.878356397777248,0.19366244067756017,0.09894853764771326,0.30365986277282025,0.8858506948881713,0.8387665985280782,0.935577853256142,-4.3496654132854315,1.3634540406810998e-5,-2.276705329536155,-3.30332021094287,-1.25009044812944
paragraph_anger,prompting,mitigation_condition_prompting,6.876531594370855e-4,TRUE,1.7633753205992753,0.9182557566195724,2.6084948845789784,0.9755631604052446,0.2784779648011581,2.9557774457400483,0.90588464167685,0.8556314046342741,0.959089369068634,-3.3944550959155113,6.876531594370855e-4,-1.7202840007444404,-2.714159654837095,-0.7264083466517857
writer_affect_y,prompting,mitigation_condition_prompting,7.438404425780052e-4,TRUE,4.986140713385323,4.2320385352558985,5.740242891514748,0.3180414204830551,0.11574408675928341,0.5924330221205035,1.0687145461900982,1.0282302095517657,1.1107928658662958,3.372888586940303,7.438404425780052e-4,1.585799275213462,0.6643991712548428,2.5071993791720812
paragraph_clarity,prompting,mitigation_condition_prompting,0.00196892778750307,TRUE,-11.344273056736654,-12.1222659212927,-10.566280192180605,0.1188426341288057,0.04070550193172543,0.20848620571620008,0.9139890059838622,0.8633863598376643,0.9675574481121496,-3.0948796392300824,0.00196892778750307,-1.3481832923390225,-2.2029236658019755,-0.49344291887606934
writer_openness,prompting,mitigation_condition_prompting,0.00304882934267477,TRUE,4.589363360553506,3.600705947909913,5.578020773197098,0.3966237420575304,0.11036647779158093,0.8400781617334544,1.088714254691303,1.0291868484629905,1.151684682075164,2.9627713673667726,0.00304882934267477,1.8202504697244548,0.6156265057860346,3.024874433662875
writer_confidence,prompting,mitigation_condition_prompting,0.00835984233542155,TRUE,-9.988787507017548,-10.815828214568771,-9.161746799466329,0.12656204534504925,0.02997011270849829,0.24059289264711486,0.9265389740323212,0.8754606721716625,0.98059741309834,-2.637180143413955,0.00835984233542155,-1.2642013774052163,-2.2042511641840505,-0.32415159062638194
paragraph_informativeness,prompting,mitigation_condition_prompting,0.01239223451261417,TRUE,-25.324146567610537,-26.402556037593683,-24.245737097627384,0.06623646314405418,0.013739057373902028,0.12340386094654758,0.9308826543554444,0.8800686722978286,0.9846305674275688,-2.5007736732533576,0.01239223451261417,-1.6773819007801616,-2.99201756934216,-0.362746232218163
paragraph_formality,prompting,mitigation_condition_prompting,0.02067181675520539,TRUE,-30.39439755858719,-31.365395986955363,-29.423399130219025,0.0438483624702662,0.00649478952735312,0.08366733789512794,0.9378708712908648,0.888274870074348,0.9902360191077608,-2.313925360060653,0.02067181675520539,-1.3327445612143052,-2.461777477051249,-0.20371164537736128
writer_affect_x,prompting,mitigation_condition_prompting,0.03335804779870069,TRUE,-4.2570153861075655,-5.152983178864014,-3.3610475933511164,0.2821095332730982,0.018393575129894764,0.6864251100587946,1.0494962695226406,1.0038167683093755,1.097254453715676,2.127747216977634,0.03335804779870069,1.2009446237112031,0.0947817832435192,2.3071074641788867
paragraph_disgust,prompting,mitigation_condition_prompting,0.03847903086635469,TRUE,2.396115999175491,1.6046017448969991,3.1876302534539827,0.4107919567815053,0.01633430738921436,1.1944039283551269,0.9414467870229594,0.8891624029858547,0.9968055889672536,-2.0697151106134113,0.03847903086635469,-0.9843051799767716,-1.916542627550467,-0.05206773240307664
paragraph_relevance,prompting,mitigation_condition_prompting,0.05216168091738017,FALSE,-9.55902656183396,-10.241328505649111,-8.876724618018809,0.0755653197400585,0,0.16356419062568292,0.9469894099296586,0.8963320698793799,1.0005097135926473,-1.9417969941787805,0.05216168091738017,-0.7223308985486954,-1.451914277553321,0.00725248045593028
writer_stance_polarity,prompting,mitigation_condition_prompting,0.07841143033218861,FALSE,-7.415804146085714,-8.538142880394691,-6.2934654117767375,0.16248877079765964,0,0.40472478170074994,0.9444816056069486,0.8862745135108552,1.0065115150340536,-1.7599786279511491,0.07841143033218861,-1.2049849001736557,-2.5471214149225605,0.13715161457524933
writer_knowledge,prompting,mitigation_condition_prompting,0.12032103355931492,FALSE,-18.91271793743188,-19.86005620509287,-17.965379669770883,0.045974000690130114,0,0.10946801264823751,0.9585184856736464,0.9086273011874584,1.011149110507028,-1.5534275156286028,0.12032103355931492,-0.8694933075077294,-1.966634408920868,0.22764779390540904
paragraph_fear,prompting,mitigation_condition_prompting,0.21245415889884373,FALSE,-0.2320387541275004,-1.1491123099932377,0.6850348017382369,3.056779541017115,NA,NA,0.965276207640154,0.913113721303838,1.0204185254227671,-1.2468454849581734,0.21245415889884373,-0.7092913163400438,-1.8242752621723195,0.40569262949223184
paragraph_originality,prompting,mitigation_condition_prompting,0.2160612368031283,FALSE,-13.380303157544194,-14.408731517475164,-12.351874797613222,0.06067492330609065,0,0.16985516051698,0.967655098685864,0.918537429381154,1.0193992754803696,-1.237069621120055,0.2160612368031283,-0.8118488678962366,-2.0980296764342334,0.4743319406417604
paragraph_excitement,prompting,mitigation_condition_prompting,0.231585142689998,FALSE,-4.521642392107236,-5.309705657983107,-3.7335791262313656,0.1325294380083419,0,0.4234612970726178,0.968679512695027,0.9194708474767908,1.020521749971807,-1.1962855578067582,0.231585142689998,-0.5992507251006668,-1.5810262595171851,0.38252480931585153
paragraph_hope,prompting,mitigation_condition_prompting,0.541858552074997,FALSE,-9.07637890369184,-10.142958381985531,-8.009799425398146,0.045755029659635384,0,0.21843627024218232,1.0169531783519798,0.9634801292350994,1.0733939762527676,0.6100049144800771,0.541858552074997,0.41528998594050903,-0.9190507399909278,1.749630711871946
writer_friendliness,prompting,mitigation_condition_prompting,0.7526158572563431,FALSE,-3.2501027898589885,-4.0998941174054675,-2.400311462312509,0.05139162565658269,0,0.50229137885308,1.0068097389912278,0.965204840123251,1.0502080060002028,0.31519202905005334,0.7526158572563431,0.16702806592184816,-0.8715996222381067,1.205655754081803
writer_optimism,prompting,mitigation_condition_prompting,0.8717266458851104,FALSE,-9.556233611189702,-10.555453446632958,-8.557013775746446,0.010612849745802297,0,0.15572050056513992,0.99594100505205,0.9479647551078448,1.0463453205401552,-0.16146567257545083,0.8717266458851104,-0.101418871451342,-1.3325024685020346,1.1296647255993506
writer_importance,reranking,mitigation_condition_reranking,1.6717662929302936e-20,TRUE,-11.75604996803058,-12.633743538283912,-10.878356397777248,0.4322566703080704,0.31699892561647947,0.5661129932662053,0.769834360773072,0.7284635456010271,0.8135547023673173,-9.281456998077296,1.6717662929302936e-20,-5.081631015156196,-6.158378902162252,-4.00488312815014
paragraph_clarity,reranking,mitigation_condition_reranking,2.422857982529745e-11,TRUE,-11.344273056736654,-12.1222659212927,-10.566280192180605,0.2686003388841219,0.17720424416168062,0.3734553819306799,0.8215244615033878,0.7754643713606859,0.8703203728937262,-6.677963233994445,2.422857982529745e-11,-3.0470755874334787,-3.9460342047573858,-2.1481169701095717
writer_community,reranking,mitigation_condition_reranking,3.9398289946320214e-10,TRUE,-9.68490385715578,-10.668902483826889,-8.70090523048467,0.39883462560174354,0.2485960863068272,0.58305457543342,0.8409831379771332,0.796572147055251,0.8878701583735015,-6.256393115762736,3.9398289946320214e-10,-3.862675003857607,-5.073102605046663,-2.6522474026685523
writer_affect_y,reranking,mitigation_condition_reranking,1.8295816629093286e-9,TRUE,4.986140713385323,4.2320385352558985,5.740242891514748,0.5756444257604468,0.3370498951552785,0.8992687375078352,1.1270981555940816,1.0839830379353237,1.171928164820026,6.012256819746325,1.8295816629093286e-9,2.870244107717479,1.9347482647508785,3.80573995068408
writer_stance_polarity,reranking,mitigation_condition_reranking,1.2114531742501932e-8,TRUE,-7.415804146085714,-8.538142880394691,-6.2934654117767375,0.5466390785485569,0.3112980666357502,0.8659186890423463,0.8290164371576064,0.7772334829513353,0.8842494155910204,-5.6981065728751155,1.2114531742501932e-8,-4.0537683451128625,-5.4496293188990625,-2.657907371326663
writer_confidence,reranking,mitigation_condition_reranking,4.352934567528073e-8,TRUE,-9.988787507017548,-10.815828214568771,-9.161746799466329,0.2726989786453024,0.1614743373738235,0.4040043551799852,0.8517344648756737,0.80418936941018,0.9020905103348,-5.475900006362692,4.352934567528073e-8,-2.723932151068642,-3.7013856080406873,-1.7464786940965968
writer_knowledge,reranking,mitigation_condition_reranking,4.848922852827315e-8,TRUE,-18.91271793743188,-19.86005620509287,-17.965379669770883,0.16651148784369946,0.10156920341734925,0.23830275763604516,0.860612521060568,0.8154396610843752,0.908287819139557,-5.456763211757557,4.848922852827315e-8,-3.149184802930005,-4.281199517284944,-2.017170088575067
paragraph_informativeness,reranking,mitigation_condition_reranking,3.840366021376354e-6,TRUE,-25.324146567610537,-26.402556037593683,-24.245737097627384,0.12476958767310493,0.06889775733373027,0.1856115874654157,0.8746572473455563,0.8263474012784046,0.9257913792075462,-4.619839717334691,3.840366021376354e-6,-3.159683325414042,-4.500289751959739,-1.8190768988683448
paragraph_relevance,reranking,mitigation_condition_reranking,1.1403136874140554e-5,TRUE,-9.55902656183396,-10.241328505649111,-8.876724618018809,0.1765125325319578,0.09093571505804146,0.27524492966403846,0.8831736754785718,0.8355080930459541,0.933558570587573,-4.388697846166247,1.1403136874140554e-5,-1.6872879869695656,-2.443273443133626,-0.9313025308055052
writer_optimism,reranking,mitigation_condition_reranking,1.5342021389155177e-4,TRUE,-9.556233611189702,-10.555453446632958,-8.557013775746446,0.2519831273297808,0.11005339070205983,0.42705970976009244,0.9080886490967772,0.8638706550379021,0.9545699808291668,-3.7854669666580474,1.5342021389155177e-4,-2.4080096308415455,-3.6543558194833903,-1.161663442199701
paragraph_hope,reranking,mitigation_condition_reranking,4.000975609467524e-4,TRUE,-9.07637890369184,-10.142958381985531,-8.009799425398146,0.2656860832139534,0.10618391858365564,0.4676666487387009,0.9063503343104148,0.858326845439253,0.957060743083492,-3.5400194389641477,4.000975609467524e-4,-2.4114675606876412,-3.7459160543451233,-1.0770190670301591
paragraph_excitement,reranking,mitigation_condition_reranking,0.00106818270205091,TRUE,-4.521642392107236,-5.309705657983107,-3.7335791262313656,0.3614838777753774,0.12342861472767173,0.7000339216826913,0.9157321433214514,0.8686939829992721,0.9653173323669744,-3.271924041891535,0.00106818270205091,-1.6345008258124571,-2.6136320376483786,-0.6553696139765357
writer_openness,reranking,mitigation_condition_reranking,0.00118030880112625,TRUE,4.589363360553506,3.600705947909913,5.578020773197098,0.43957651277007953,0.14297808041025856,0.8990509161051028,1.0986074635318328,1.03791831193099,1.1628452307411403,3.2435963575409743,0.00118030880112625,2.0173763418668833,0.7975347026402673,3.2372179810934996
paragraph_formality,reranking,mitigation_condition_reranking,0.01954849141656955,TRUE,-30.39439755858719,-31.365395986955363,-29.423399130219025,0.044722365144185816,0.00694452160391727,0.08499361378305598,0.9366883192520924,0.8866484723045603,0.9895522688296376,-2.334902946212137,0.01954849141656955,-1.3593093459526862,-2.500801021858541,-0.21781767004683156
writer_friendliness,reranking,mitigation_condition_reranking,0.10487556973716144,FALSE,-3.2501027898589885,-4.0998941174054675,-2.400311462312509,0.2677943466103136,0,0.8008520646227246,0.965338599915914,0.9250459647395002,1.0073862791780737,-1.6216627922880094,0.10487556973716144,-0.8703591530266452,-1.922294390330564,0.18157608427727315
writer_affect_x,reranking,mitigation_condition_reranking,0.17539032225341833,FALSE,-4.2570153861075655,-5.152983178864014,-3.3610475933511164,0.18093669241713334,0,0.560608842834571,0.9693900493616162,0.9267666270280784,1.0139737884334132,-1.3550854863265709,0.17539032225341833,-0.7702502835311487,-1.8842330020204892,0.3437324349581917
paragraph_originality,reranking,mitigation_condition_reranking,0.31799270910130806,FALSE,-13.380303157544194,-14.408731517475164,-12.351874797613222,0.04966539949994655,0,0.15938859785613663,0.9734542252323208,0.923383472538644,1.0262400798851203,-0.998591314972559,0.31799270910130806,-0.6645381017498286,-1.9687480048861228,0.6396718013864653
paragraph_fear,reranking,mitigation_condition_reranking,0.3704579792703969,FALSE,-0.2320387541275004,-1.1491123099932377,0.6850348017382369,2.2308317679125107,NA,NA,0.9745915295155708,0.9212173366955286,1.0310581570366468,-0.8956158279342158,0.3704579792703969,-0.5176394240944682,-1.650283511588542,0.6150046633996055
paragraph_anger,reranking,mitigation_condition_reranking,0.4915583720812158,FALSE,1.7633753205992753,0.9182557566195724,2.6084948845789784,0.2048477225924416,0,1.5141409688673315,0.9798891735654772,0.9247745891568372,1.038288469135252,-0.6878323336315068,0.4915583720812158,-0.3612234185004781,-1.3903686609959638,0.6679218239950077
paragraph_disgust,reranking,mitigation_condition_reranking,0.7126727780695332,FALSE,2.396115999175491,1.6046017448969991,3.1876302534539827,0.07542900769599499,0,0.7121598649479745,1.0109104199880397,0.9541822892948334,1.071011156574323,0.36826884854836367,0.7126727780695332,0.18073665214230483,-0.7812596576565214,1.142732961941131
