model,term,estimate,conf.low,conf.high,statistic,p,odds_ratio,or_low,or_high,p_bonferroni,significant_bonferroni
exploratory_writer_knowledge,(Intercept),-0.9237136396612375,-1.0947217534494667,-0.7527055258730085,-10.586898046290553,3.427624643699949e-26,0.39704182958109757,0.3346327043916784,0.4710902800838899,NA,FALSE
exploratory_writer_knowledge,paragraph_typeai,0.0853969982341862,-0.009614814427877094,0.1804088108962495,1.7616234890934326,0.07813293259121085,1.0891493712578018,0.9904312601160616,1.1977068986819512,NA,FALSE
exploratory_writer_knowledge,writer_knowledge,0.011849801720390797,0.009093142243578382,0.014606461197203213,8.425119167334554,3.603832773165944e-17,1.0119202887648124,1.009134610458332,1.0147136568319521,7.207665546331889e-16,TRUE
exploratory_writer_importance,(Intercept),-0.6787811933664781,-0.8780953392960108,-0.47946704743694546,-6.674823235335097,2.475303330284701e-11,0.5072348369565992,0.41557368523274224,0.6191132618955263,NA,FALSE
exploratory_writer_importance,paragraph_typeai,0.232287412107086,0.1449561342214412,0.3196186899927308,5.213194777569357,1.8561582114998666e-7,1.2614822419997214,1.1559888608044402,1.376602751840748,NA,FALSE
exploratory_writer_importance,writer_importance,0.0062756780989680384,0.003419207975419887,0.00913214822251619,4.306049956953734,1.661955391270264e-5,1.0062954114251725,1.0034250601350254,1.0091739735093852,3.323910782540528e-4,TRUE
exploratory_writer_confidence,(Intercept),-0.5532913394919642,-0.7679696055472855,-0.3386130734366429,-5.051424712377369,4.3852678238548816e-7,0.5750539942833295,0.4639541225089815,0.7127581808151946,NA,FALSE
exploratory_writer_confidence,paragraph_typeai,0.2620935430797598,0.17453008697298972,0.34965699918652987,5.866533001968949,4.4500172776835305e-9,1.2996481098301962,1.1906865660006503,1.4185808907365123,NA,FALSE
exploratory_writer_confidence,writer_confidence,0.003972639872381514,0.0010887314067771748,0.006856548337985853,2.699888420967589,0.006936273472054877,1.0039805412658247,1.0010893242899592,1.0068801082813907,0.13872546944109754,FALSE
exploratory_writer_stance_polarity,(Intercept),-0.46024964397830603,-0.6037842089399207,-0.3167150790166914,-6.284707285218042,3.2847199614121425e-10,0.6311260690160515,0.5467387427987497,0.7285383014063672,NA,FALSE
exploratory_writer_stance_polarity,paragraph_typeai,0.28187947095196186,0.20001745156757347,0.3637414903363503,6.74883926882959,1.490325715437931e-11,1.3256189347693363,1.2214240737389328,1.4387022476475175,NA,FALSE
exploratory_writer_stance_polarity,writer_stance_polarity,0.0029055294092642328,0.0010073863231098424,0.004803672495418623,3.0001600193994213,0.002698378040217858,1.0029097545509384,1.0010078939071418,1.0048152286266874,0.05396756080435716,FALSE
exploratory_paragraph_formality,(Intercept),-0.7515562065258408,-0.9062024340061668,-0.5969099790455147,-9.525114974664291,1.6485932851509334e-21,0.4716320245160975,0.4040557425192134,0.5505100983401457,NA,FALSE
exploratory_paragraph_formality,paragraph_typeai,0.019635149802266983,-0.09377743558175917,0.13304773518629315,0.33932906399391927,0.7343618502034599,1.019829187260253,0.9104853813412445,1.1423045251487716,NA,FALSE
exploratory_paragraph_formality,paragraph_formality,0.010827095122213788,0.007823034215306094,0.013831156029121482,7.0640100698132615,1.6176501452684059e-12,1.0108859202265843,1.0078537140985488,1.0139272489821145,3.235300290536812e-11,TRUE
exploratory_paragraph_clarity,(Intercept),-0.8776251662017438,-1.0972195687074429,-0.6580307636960447,-7.8331400894280785,4.758336160655062e-15,0.41576912273935235,0.33379789674850135,0.5178701397082028,NA,FALSE
exploratory_paragraph_clarity,paragraph_typeai,0.16609786152533662,0.07250912545699714,0.25968659759367607,3.4784723052682733,5.042805434756356e-4,1.1806886400610688,1.0752026177606384,1.2965236893420529,NA,FALSE
exploratory_paragraph_clarity,paragraph_clarity,0.008879759445303063,0.005856456560095249,0.011903062330510876,5.756620942389324,8.58143075169986e-9,1.0089193014637508,1.005873639128427,1.0119741856920639,1.716286150339972e-7,TRUE
exploratory_paragraph_informativeness,(Intercept),-0.7958061798838653,-0.9393190542401181,-0.6522933055276124,-10.868373017008151,1.630830482756599e-27,0.4512173259228337,0.39089392231180986,0.5208499380313889,NA,FALSE
exploratory_paragraph_informativeness,paragraph_typeai,0.04069572153996568,-0.05968122254388079,0.14107266562381215,0.7946261890238163,0.42683097956005756,1.0415351406164663,0.9420647947422294,1.151508320015066,NA,FALSE
exploratory_paragraph_informativeness,paragraph_informativeness,0.012211475087039955,0.009426913687463786,0.014996036486616123,8.595267955789867,8.307072579322378e-18,1.0122863395738548,1.0094714869910955,1.0151090412094745,1.6614145158644756e-16,TRUE
exploratory_paragraph_originality,(Intercept),-0.7017452708159317,-0.8614503239775174,-0.5420402176543461,-8.6120972999454235,7.173591728643062e-18,0.49571938380531927,0.4225488050362596,0.5815605311183836,NA,FALSE
