distortion,label,bin_0_25,bin_26_50,bin_51_75,bin_76_100,mean_rating,mean_ci_low,mean_ci_high,median_rating,sd_rating,n
extreme_more,[...] my opinion on an issue seem more extreme [...],0.46635576282478347,0.22185209860093272,0.20186542305129915,0.10992671552298468,34.973351099267155,33.510655635825536,36.436046562708775,30.0,28.8898705898102,1501
moderate_more,[...] my opinion on an issue seem more moderate [...],0.24250499666888742,0.20586275816122585,0.34776815456362425,0.20386409060626248,50.7001998667555,49.257662828985346,52.14273690452565,54.0,28.49171914714917,1501
confidence_more,[...] me seem more confident in my opinion [...],0.10459693537641572,0.11525649566955364,0.36642238507661556,0.41372418387741505,66.42638241172551,65.09985904087965,67.75290578257137,72.0,26.20031953057692,1501
confidence_less,[...] me seem less confident in my opinion [...],0.6662225183211192,0.24850099933377748,0.06595602931379081,0.019320453031312457,20.48301132578281,19.44979874064932,21.516223910916302,16.0,20.407103612693422,1501
knowledge_more,[...] me seem more knowledgeable about an issue [...],0.13257828114590273,0.13257828114590273,0.3504330446369087,0.3844103930712858,63.63690872751499,62.25137048986239,65.02244696516759,69.0,27.365929124326545,1501
knowledge_less,[...] me seem less knowledgeable about an issue [...],0.7355096602265156,0.1932045303131246,0.051299133910726186,0.019986675549633577,17.007328447701532,16.007117476092155,18.00753941931091,10.0,19.755284852195462,1501
importance_more,[...] an issue seem more important to me [...],0.2524983344437042,0.24250499666888742,0.34110592938041306,0.16389073950699534,48.299133910726184,46.90383704028404,49.69443078116833,51.0,27.558673031359643,1501
importance_less,[...] an issue seem less important to me [...],0.6229180546302465,0.29580279813457694,0.06329113924050633,0.01798800799467022,21.59560293137908,20.571669012613235,22.619536850144925,17.0,20.22383957906027,1501
relevance_more,[...] my writing seem more relevant or on-topic [...],0.06395736175882745,0.07728181212524983,0.36508994003997336,0.4936708860759494,71.73351099267155,70.55257388710524,72.91444809823787,75.0,23.324828036480334,1501
relevance_less,[...] my writing seem less relevant or on-topic [...],0.7461692205196535,0.19586942038640906,0.04730179880079947,0.010659560293137908,16.175882744836777,15.245626722521969,17.106138767151585,10.0,18.373596399096957,1501
clarity_more,[...] my opinion clearer to others [...],0.03597601598934044,0.04330446369087275,0.22451698867421718,0.6962025316455697,80.76282478347768,79.68887605106865,81.83677351588672,86.0,21.21168806142686,1501
clarity_less,[...] my opinion less clear others [...],0.844103930712858,0.11725516322451698,0.02798134576948701,0.010659560293137908,11.38107928047968,10.546384438035432,12.215774122923929,4.0,16.486156266224615,1501
formality_more,[...] my writing seem more formal [...],0.07728181212524983,0.18587608261159227,0.3570952698201199,0.379746835443038,65.26249167221852,64.02891365034996,66.49606969408707,68.0,24.36454498215451,1501
formality_less,[...] my writing seem less formal [...],0.3990672884743504,0.3597601598934044,0.18587608261159227,0.0552964690206529,34.680879413724185,33.43008285409772,35.93167597335065,35.0,24.70463035194245,1501
